Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim,Month/Year,Year
50057,5-11-2016,Illinois,Chicago,4800 block of North Winthrop,0,5,5,201611,2016
50062,1-11-2016,Tennessee,Memphis,5200 block of Zodiac Rd,1,5,6,201611,2016
50043,13-11-2016,California,San Diego,3800 block of Marlborough Avenue,3,2,5,201611,2016
50002,30-12-2016,Ohio,Mansfield,3230 Possum Run Rd,0,5,5,201612,2016
50004,28-12-2016,Georgia,Columbus,2914 10th Street,1,4,5,201612,2016
50005,25-12-2016,Illinois,Chicago,8600 block of S Maryland Ave,3,4,7,201612,2016
50003,30-12-2016,Connecticut,Wallingford,95 S Turnpike Rd,2,3,5,201612,2016
50007,25-12-2016,New York,Mount Vernon,4 North 3rd Avenue,1,5,6,201612,2016
50008,24-12-2016,North Carolina,Madison,490 K Ford Rd,0,7,7,201612,2016
50012,2017-12-2016,Illinois,Chicago (Roseland),100 block of W 105th St,5,0,5,201612,2016
50018,11-12-2016,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,5,201612,2016
50019,11-12-2016,Maryland,Baltimore,3916 South Hanover Street,0,5,5,201612,2016
50023,5-12-2016,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,5,201612,2016
50024,3-12-2016,California,Los Angeles,91st Street and Western Avenue,0,6,6,201612,2016
50025,2-12-2016,New Jersey,Bloomfield,3 1st Ave,0,6,6,201612,2016
60328,20-01-2017,Mississippi,Como,Smart Road,1,4,5,201701,2017
60317,29-01-2017,Louisiana,Shreveport,6363 Hearne Ave,1,4,5,201701,2017
60319,27-01-2017,Tennessee,Brownsville,221 Morgan St,0,10,10,201701,2017
60320,26-01-2017,Georgia,Albany,1510 Maryland Drive,2,3,5,201701,2017
60321,25-01-2017,Illinois,Chicago,500 block of E 75th St,0,6,6,201701,2017
60322,22-01-2017,Texas,Manvel,200 block of Oak Shore Dr,3,2,5,201701,2017
60325,21-01-2017,Georgia,Jonesboro,6510 Tara Blvd,0,6,6,201701,2017
60331,2016-01-2017,Florida,Miami,6011 NW 32nd Ave,0,8,8,201701,2017
60333,2015-01-2017,Mississippi,Magnolia,6000 block of Church Road,1,4,5,201701,2017
60334,12-01-2017,Missouri,Kansas City,8607 E 61st Terrace,3,2,5,201701,2017
60340,6-01-2017,Florida,Fort Lauderdale,100 Terminal Dr,5,6,11,201701,2017
60343,1-01-2017,Mississippi,Winstonville,114 North Greyer Street,0,5,5,201701,2017
60345,1-01-2017,Florida,Miami,8000 block of NW 14th Ave,0,7,7,201701,2017
60326,21-01-2017,Florida,Boynton Beach,500 NE 2nd St,0,5,5,201701,2017
60297,20-02-2017,Ohio,Cleveland,1082 East 105th Street,0,5,5,201702,2017
60291,26-02-2017,Indiana,Gary,1700 Grant St,1,4,5,201702,2017
60292,25-02-2017,Ohio,Warren,1564 Niles Cortland Rd SE,2,3,5,201702,2017
60293,25-02-2017,Florida,Jacksonville,3604 Moncrief Rd,1,4,5,201702,2017
