Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured
60306,11-Feb-17,Illinois,Chicago,100 block of N Mayfield,1,3
60307,11-Feb-17,Tennessee,Savannah,Clifton Road and Midway Drive,0,4
60308,10-Feb-17,Louisiana,New Orleans,2nd St and Dryades St,1,5
60309,9-Feb-17,Mississippi,Jackson,3150 Robinson Road,4,0
60310,8-Feb-17,Ohio,Cleveland,16379 Euclid Ave,1,4
60311,7-Feb-17,South Carolina,Columbia,5500 block of Fairfield Road,0,4
60312,7-Feb-17,Arkansas,Little Rock,25 Par Drive,1,4
60313,6-Feb-17,Mississippi,Yazoo City,11th Street,4,0
60314,31-Jan-17,Tennessee,Memphis,1576 S White Station Rd,0,4
60315,31-Jan-17,District of Columbia,Washington,2900 block of Martin Luther King Jr Ave,0,4
60316,30-Jan-17,Minnesota,Minneapolis (Crystal),5410 Lakeland Ave N,0,4
60317,29-Jan-17,Louisiana,Shreveport,6363 Hearne Ave,1,4
60318,27-Jan-17,Washington,Bremerton,Tenino Dr W,4,0
60319,27-Jan-17,Tennessee,Brownsville,221 Morgan St,0,10
60320,26-Jan-17,Georgia,Albany,1510 Maryland Drive,2,3
60321,25-Jan-17,Illinois,Chicago,500 block of E 75th St,0,6
60322,22-Jan-17,Texas,Manvel,200 block of Oak Shore Dr,3,2
60323,22-Jan-17,Illinois,Chicago (Englewood),1800 block of W 63rd,0,4
60324,22-Jan-17,Georgia,Atlanta,2841 Greenbriar Pkwy SW,3,1
60325,21-Jan-17,Georgia,Jonesboro,6510 Tara Blvd,0,6
60326,21-Jan-17,Florida,Boynton Beach,500 NE 2nd St,0,5
60327,21-Jan-17,Tennessee,Memphis,500 block of Delta Road,2,2
60328,20-Jan-17,Mississippi,Como,Smart Road,1,4
60329,20-Jan-17,California,Fresno,4700 block of E Montecito Ave,0,4
60330,16-Jan-17,Texas,Houston,8535 Martin Luther King Boulevard,0,4
60331,16-Jan-17,Florida,Miami,6011 NW 32nd Ave,0,8
60332,15-Jan-17,Colorado,Capulin,County Road Y,3,1
60333,15-Jan-17,Mississippi,Magnolia,6000 block of Church Road,1,4
60334,12-Jan-17,Missouri,Kansas City,8607 E 61st Terrace,3,2
60335,12-Jan-17,California,Salinas,500 block of Sunrise St,2,2
60336,11-Jan-17,New Jersey,Newark,Hawkins Street and Christie Street,1,3
60337,11-Jan-17,Illinois,Chicago,4200 block of S Talman,1,3
60338,7-Jan-17,Michigan,Flint,2500 block of Churchill Ave,1,3
60339,6-Jan-17,California,Pasadena,100 block of W Claremont St,2,2
60340,6-Jan-17,Florida,Fort Lauderdale,100 Terminal Dr,5,6
60341,4-Jan-17,California,Fontana,14520 Village Drive,3,1
60342,3-Jan-17,Texas,Allen,500 block of Hawthorne Drive,0,4
60343,1-Jan-17,Mississippi,Winstonville,114 North Greyer Street,0,5
60344,1-Jan-17,Texas,Dallas,9220 Skillman Street,1,3
60345,1-Jan-17,Florida,Miami,8000 block of NW 14th Ave,0,7
70000,31-Dec-18,Ohio,Cleveland,4462 Denison Ave,3,2
70001,29-Dec-18,Ohio,Lima,904 S Main St,1,3
70002,28-Dec-18,Missouri,Saint Charles,150 Whetstone Dr,4,1
70003,24-Dec-18,Louisiana,Lutcher,2176 Main St,2,2
70004,23-Dec-18,Missouri,Springfield,1042 W College St,1,6
70005,22-Dec-18,Nevada,Las Vegas,3528 S Maryland Pkwy,0,4
70006,18-Dec-18,Maryland,Baltimore,3942 Park Heights Ave,0,5
70007,15-Dec-18,Florida,Miami,239 NW 16th St,0,5
70008,14-Dec-18,Colorado,Colorado Springs,700 block of Geiger Ct,1,3
70009,13-Dec-18,Pennsylvania,Philadelphia,4505 N Broad St,0,4
70010,11-Dec-18,Louisiana,Natchitoches,Caspari St and University Pkwy,1,3
70011,9-Dec-18,Wisconsin,Madison,3554 E Washington Ave,0,4
70012,8-Dec-18,California,Inglewood,801 S Inglewood Ave,0,5
70013,8-Dec-18,New York,Corona (Queens),89-25 130th St,0,5
